keys,zh,en
SKILL_BACKEND,后端开发,Backend
SKILL_FRONTEND,前端开发,Frontend
SKILL_ALGORITHM,算法,Algorithm
SKILL_DATA_ENGINEERING,数据工程,Data Eng.
SKILL_INFRASTRUCTURE,基础设施,Infra
SKILL_UNKNOWN,未知,Unknown
GSKILL_COMMUNICATION,沟通,Comm.
GSKILL_INTERVIEW,面试技巧,Interview
BONUS_BACKEND,后端相关岗位薪资+10%,Backend job salary +10%
BONUS_FRONTEND,面试通过率+8%,Interview pass rate +8%
BONUS_ALGORITHM,大厂简历通过率+15%,Big corp resume rate +15%
BONUS_DATA,"外包刷新率+15%，外包收入+20%","Outsource refresh +15%, income +20%"
BONUS_INFRA,面试消耗1AP（原2AP）,Interview costs 1AP (was 2AP)
SCALE_BIG,大厂,Big Corp
SCALE_MEDIUM,中厂,Mid Corp
SCALE_SMALL,小厂,Small Corp
BENEFIT_HIGH,优厚,Generous
BENEFIT_MEDIUM,中等,Average
BENEFIT_NORMAL,普通,Basic
STATUS_GOOD,良好,Good
STATUS_STABLE,维持,Stable
STATUS_STRUGGLING,艰难,Struggling
COMPANY_bytedance,字节飞扬,ByteSoar
COMPANY_deepmind,深渊后端,DeepBack
COMPANY_cybertech,赛博科技,CyberTech
COMPANY_geekcloud,极客云,GeekCloud
COMPANY_hashworks,哈希工业,HashWorks
COMPANY_stackflow,栈溢出,StackFlow
COMPANY_recursion,递归传媒,Recursion Media
COMPANY_pointshop,指针工坊,PointerShop
WIND_HOT_NAME,%s需求激增,%s Demand Surge
WIND_HOT_DESC,各大公司纷纷扩招%s方向工程师,Companies ramping up hiring for %s engineers
WIND_SHRINK_NAME,%s岗位收缩,%s Jobs Shrinking
WIND_SHRINK_DESC,%s方向岗位需求下降,Demand for %s roles is declining
EVENT_ai_shock,AI浪潮冲击,AI Wave Impact
EVENT_DESC_ai_shock,"AI大模型快速迭代，各公司裁员优化，经营状况普遍下滑","AI disruption causes layoffs, business conditions declining"
EVENT_economy_down,经济不景气,Economic Downturn
EVENT_DESC_economy_down,"融资环境恶化，新增岗位大幅减少","Funding environment worsening, fewer new positions"
EVENT_policy_boost,政策利好,Policy Boost
EVENT_DESC_policy_boost,"政府出台人才补贴政策，企业招聘意愿增强，面试通过率提升","Govt talent subsidies boost hiring and interview rates"
EVENT_funding_boom,融资热潮,Funding Boom
EVENT_DESC_funding_boom,"资本市场活跃，多家公司获得融资，经营状况改善","Active capital markets, companies funded, conditions improving"
EVENT_industry_crackdown,行业整顿,Industry Crackdown
EVENT_DESC_industry_crackdown,"监管部门出手整顿，所有公司暂停招聘一周","Regulators freeze all hiring for one week"
JOB_jr_backend,初级后端开发,Jr. Backend Dev
JOB_jr_frontend,初级前端开发,Jr. Frontend Dev
JOB_jr_data_analyst,初级数据分析师,Jr. Data Analyst
JOB_jr_ops,初级运维工程师,Jr. Ops Engineer
JOB_jr_algo,初级算法工程师,Jr. Algorithm Engineer
JOB_mid_fullstack,全栈开发,Fullstack Dev
JOB_mid_search,搜索工程师,Search Engineer
JOB_mid_data_eng,数据工程师,Data Engineer
JOB_mid_sre,SRE工程师,SRE Engineer
JOB_mid_bigdata,大数据开发,Big Data Dev
JOB_mid_frontend,中级前端工程师,Mid Frontend Dev
JOB_sr_fullstack,高级全栈架构师,Sr. Fullstack Architect
JOB_sr_recommend,推荐系统专家,Recommendation Expert
JOB_sr_data_platform,数据平台负责人,Data Platform Lead
JOB_sr_ai_app,AI应用工程师,AI App Engineer
JOB_sr_sre,高级SRE,Senior SRE
TIER_JUNIOR,初级,Junior
TIER_MID,中级,Mid-level
TIER_SENIOR,高级,Senior
OUTSOURCE_MID,中级外包,Mid Outsource
OUTSOURCE_HIGH,高级外包,High Outsource
OUTSOURCE_GENERIC,外包,Outsource
SALARY_FORMAT,$%s/周,$%s/wk
SEP_LIST,、,", "
TOOL_NAME_mech_keyboard,机械键盘,Mech Keyboard
TOOL_DESC_mech_keyboard,所有学习行动XP+0.5（每周前2次有效）,All study XP +0.5 (first 2/week)
